name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
CC-SUMMER,Motor Yachts,12,10,28,,95m / 311'8,Lurssen Lurssen,2019,12.5 Knots,14m / 45'11,3.8m / 12'6,"3,250 GT",Custom Custom,Harrison Eidsgaard,Laura Sessa Romboli,"€1,600,000 p/week + expenses Approx $1,827,000","€1,600,000 p/week + expenses Approx $1,827,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia","€1,600,000 p/week + expenses Approx $1,827,000","€1,600,000 p/week + expenses Approx $1,827,000","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The 95m/311'8"" motor yacht 'CC-Summer' (ex. Madsummer) by the German shipyard Lurssen offers flexible accommodation for up to 12 guests in 10 cabins and features interior styling by Italian designer Laura Sessa Romboli.",
O'PARI,Motor Yachts,12,12,30,"1 Master, 2 VIP, 5 Double, 4 Twin",95m / 311'8,Golden Yachts Golden Yachts,2020 | 2025 (Refitted),16 Knots,13.8m / 45'3,3.6m / 11'10,"2,600 GT",Custom Custom,Studio Vafiadis,Studio Vafiadis,"€1,150,000 p/week + expenses Approx $1,336,000","€1,150,000 p/week + expenses Approx $1,336,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Calvi, Corsica, French Riviera, Mykonos, Sardinia","€1,150,000 p/week + expenses Approx $1,336,000","€1,150,000 p/week + expenses Approx $1,336,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Calvi, Corsica, French Riviera, Mykonos, Sardinia","The 95m/311'8"" 'O'Pari' motor yacht built by the Greek shipyard Golden Yachts is available for charter for up to 12 guests in 12 cabins. This  yacht  features interior styling by Italian designer Studio Vafiadis.",
WHISPER,Motor Yachts,12,7,27,"1 Master, 2 VIP, 1 Double, 3 Double/Twin",95.2m / 312'4,Lurssen Lurssen,2014,13 Knots,13.8m / 45'3,3.7m / 12'2,"2,928 GT",Custom Custom,Espen Oeino,Reymond Langton Design,"€1,200,000 p/week + expenses Approx $1,405,000","€1,200,000 p/week + expenses Approx $1,405,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","€975,000 p/week + expenses Approx $1,141,500","€1,200,000 p/week + expenses Approx $1,405,000","Bermuda, Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts",Virgin Islands,"Delivered in 2014 by Lurssen, the 312.34ft/95.2m custom motor yacht Whisper (ex-Kismet) features an interior designed by Reymond Langton Design and an exterior styled by Espen Oeino.",
LADY S,Motor Yachts,12,7,33,"1 Master, 4 VIP, 2 Twin",93m / 305'1,Feadship Feadship,2019,14 Knots,14.1m / 46'3,3.9m / 12'10,"2,999 GT",Custom Custom,Michael Leach,Reymond Langton Design,"€1,600,000 p/week + expenses Approx $1,824,000","€1,600,000 p/week + expenses Approx $1,824,000","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia","€1,400,000 p/week + expenses Approx $1,596,000","€1,600,000 p/week + expenses Approx $1,824,000","Caribbean, Antigua,, Saint Martin,, St Barts",,"The multi-award winning 93m/305'1"" motor yacht 'Lady S' by the Dutch shipyard Feadship offers flexible accommodation for up to 12 guests in 7 cabins and features interior styling by British designer Reymond Langton Design.",
TATOOSH,Motor Yachts,12,11,31,"1 Master, 7 Double, 2 Twin, 1 Convertible",92.35m / 303',Nobiskrug Nobiskrug,2000 | 2023 (Refitted),12 Knots,14.95m / 49'1,5.16m / 16'11,"3,229 GT",Custom Custom,"Studio Yacht, Kusch Yachts",Terence Disdale,"€950,000 p/week + expenses Approx $1,083,000","€950,000 p/week + expenses Approx $1,083,000","Mediterranean, France,, Monaco","Corsica, French Riviera",,,,,"The 92.42m/303'3"" motor yacht 'Tatoosh' by the German shipyard Nobiskrug offers flexible accommodation for up to 12 guests in 11 cabins and features interior styling by English designer Terence Disdale.",
AQUARIUS,Motor Yachts,12,7,31,"1 Master, 6 VIP",92m / 301'10,Feadship Feadship,2016,12 Knots,13.45m / 44'2,4.25m / 13'11,"2,856 GT",Custom Custom,De Voogt,Sinot Yacht Architecture & Design,"$1,500,000 p/week + expenses","$1,500,000 p/week + expenses","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Cannes, Corsica, French Riviera, Ibiza, Ligurian Riviera, Portofino, Sardinia, St Tropez, The Balearics","$1,500,000 p/week + expenses","$1,500,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The 92m/301'10"" 'Aquarius' motor yacht built by the Dutch shipyard Feadship is available for charter for up to 12 guests in 7 cabins. This  yacht  features interior styling by Dutch designer Sinot Yacht Architecture & Design.",
QUEEN MIRI,Motor Yachts,36,18,36,"1 Master, 2 VIP, 7 Double, 8 Twin",92m / 301'10,Neorion Neorion,2004 | 2023 (Refitted),15 Knots,14.4m / 47'3,4.2m / 13'9,"3,367 GT",Custom Custom,"Alpha Marine, Lally Poulias",Massari Design,"€1,825,000 p/week + expenses Approx $2,080,500","€1,825,000 p/week + expenses Approx $2,080,500",,,"€990,000 p/week + expenses Approx $1,128,500","€1,200,000 p/week + expenses Approx $1,368,000","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,The splendid 92m (302ft) motor yacht QUEEN MIRI was built in 2004 by Neorion and last refitted in 2016 by Amico. Her artfully elegant interiors are helmed by the revered Studio Massari and her sleek silhouette is penned by Alpha Marine.,
MOONLIGHT II,Motor Yachts,36,18,36,"1 Master, 1 VIP, 8 Double, 8 Twin",91.4m / 299'10,Neorion Neorion,2005 | 2020 (Refitted),12 Knots,14.5m / 47'7,4.15m / 13'7,"3,052 GT",Custom Custom,"Alpha Marine, Lally Poulias","Alpha Marine, Lally Poulias","€645,000 p/week + expenses Approx $735,500","€695,000 p/week + expenses Approx $792,500","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","€645,000 p/week + expenses Approx $735,500","€695,000 p/week + expenses Approx $792,500",,"Abu Dhabi, Dubai",The sophisticated 91m (299ft) motor yacht MOONLIGHT II was built in 2005 by Neorion and last refitted in 2015.,
LADY LARA,Motor Yachts,12,8,27,,91.01m / 298'7,Lurssen Lurssen,2015 | 2023 (Refitted),12 Knots,14.35m / 47'1,4m / 13'1,"2,945 GT",Custom Custom,Reymond Langton Design,Reymond Langton Design,"€1,400,000 p/week + expenses Approx $1,617,500","€1,400,000 p/week + expenses Approx $1,617,500","Mediterranean, Monaco","Calvi, Cannes, Corsica, French Riviera, St Tropez",,,,,"The award winning 91m/298'7"" motor yacht 'Lady Lara' by the German shipyard Lurssen offers flexible accommodation for up to 12 guests in 8 cabins and features interior styling by British designer Reymond Langton Design.",
NERO,Motor Yachts,12,6,20,"1 Master, 1 VIP, 2 Double, 2 Twin, 2 Convertible",90.1m / 295'7,Corsair Yachts Corsair Yachts,2007 | 2021 (Refitted),11.5 Knots,12.03m / 39'6,4.42m / 14'6,"1,413 GT",Custom Custom,Neil Taylor,"Neil Taylor, Luxury Projects","€497,000 p/week + expenses Approx $580,000","€525,000 p/week + expenses Approx $612,500","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","$497,000 p/week + expenses","$595,000 p/week + expenses","Caribbean, Antigua,, Saint Martin,, St Barts",Virgin Islands,"The 90.1m/295'7"" 'Nero' classic yacht built by shipyard Corsair Yachts is available for charter for up to 12 guests in 6 cabins. This award winning  yacht  features interior styling by Neil Taylor.",
PHOENIX 2,Motor Yachts,12,7,28,"1 Master, 2 VIP, 3 Double, 1 Double/Twin",90.09m / 295'7,Lurssen Lurssen,2010 | 2024 (Refitted),14 Knots,13.8m / 45'3,3.75m / 12'4,"2,667 GT",Custom Custom,Winch Design,Winch Design,"€1,200,000 p/week + expenses Approx $1,403,500","€1,200,000 p/week + expenses Approx $1,403,500","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia","$1,000,000 p/week + expenses","$1,000,000 p/week + expenses",,,"Inspired by the New York skyline, Phoenix 2  was built by the German shipyard Lurssen, and delivered in 2010. At 90.1m (295.7ft) the yacht is the biggest designed by Winch Design. The yacht features a 5.7m (18.7ft) phoenix figurehead that rises from the bow like the eagles mounted on the Chrysler building.",
LAUREN L,Motor Yachts,36,20,40,"1 Master, 1 VIP, 8 Double, 10 Double/Twin",90m / 295'3,Cassens-Werft Cassens-Werft,2002 | 2008 (Refitted),11.5 Knots,14.44m / 47'5,3.95m / 13',"2,942 GT",Conversion Conversion,"Cassens-Werft, Alpha Marine",Alpha Marine,"€695,000 p/week + expenses Approx $792,500","€695,000 p/week + expenses Approx $792,500","Mediterranean, Croatia,, France,, Greece,, Italy,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","€695,000 p/week + expenses Approx $792,500","€695,000 p/week + expenses Approx $792,500","Indian Ocean, Maldives","Abu Dhabi, Dubai","The graceful 90m (296ft) superyacht LAUREN L was built in 2002 and last refitted in 2008. Alpha Marine is responsible for her superior engineering and elegant interior design. Previously named Constellation, her luxurious interior is designed by Alpha Marine and her exterior styling is by Cassens-Werft.",
LUNA,Motor Yachts,12,7,30,"1 Master, 2 VIP, 4 Double",89.99m / 295'3,Oceanco Oceanco,2018 | 2024 (Refitted),13 Knots,14.6m / 47'11,3.95m / 13',"2,926 GT",Custom Custom,Luiz de Basto Designs,Nuvolari Lenard,"€1,200,000 p/week + expenses Approx $1,409,500","€1,600,000 p/week + expenses Approx $1,879,500","Mediterranean, Croatia,, Greece,, Malta,, Monaco,, Montenegro","Amalfi Coast, Cannes, French Riviera, Mykonos, Santorini, St Tropez","€1,200,000 p/week + expenses Approx $1,409,500","€1,600,000 p/week + expenses Approx $1,879,500","Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts",Virgin Islands,"The 90m/295'3"" 'Luna' (ex. Dar) motor yacht built by the Dutch shipyard Oceanco is available for charter for up to 12 guests in 7 cabins. This multi-award winning  yacht  features interior styling by Italian designer Nuvolari Lenard.",
BARBARA,Motor Yachts,12,7,27,"1 Master, 1 VIP, 4 Twin",88.5m / 290'4,Oceanco Oceanco,2017,16 Knots,14.5m / 47'7,3.99m / 13'1,"2,984 GT",Custom Custom,Sam Sorgiovanni,Sam Sorgiovanni,"€1,100,000 p/week + expenses Approx $1,277,500","€1,100,000 p/week + expenses Approx $1,277,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","$1,100,000 p/week + expenses","$1,100,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The 88.5m/290'4"" motor yacht 'Barbara' by the Dutch shipyard Oceanco offers flexible accommodation for up to 12 guests in 7 cabins and features interior styling by Australian designer Sam Sorgiovanni.",
SAMSARA,Motor Yachts,12,7,28,"1 Master, 2 VIP, 4 Double",88.5m / 290'4,Oceanco Oceanco,2015 | 2023 (Refitted),14 Knots,14.2m / 46'7,4m / 13'1,"2,914 GT",Custom Custom,Espen Oeino,Sinot Yacht Architecture & Design,"€1,100,000 p/week + expenses Approx $1,275,000","€1,100,000 p/week + expenses Approx $1,275,000",,,"$1,100,000 p/week + expenses","$1,100,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The 88.5m/290'4"" 'Samsara' motor yacht built by the Dutch shipyard Oceanco is available for charter for up to 12 guests in 7 cabins. This  yacht  features interior styling by Dutch designer Sinot Yacht Architecture & Design.",
PROJECT X,Motor Yachts,12,9,28,"1 Master, 1 VIP, 5 Double, 2 Twin",88.01m / 288'9,Golden Yachts Golden Yachts,2022,12 Knots,14.8m / 48'7,4.4m / 14'5,"2,974 GT",Custom Custom,Ken Freivokh,Massari Design,"€1,200,000 p/week + expenses Approx $1,407,500","€1,200,000 p/week + expenses Approx $1,407,500","Mediterranean, Croatia,, France,, Greece,, Italy,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","€1,200,000 p/week + expenses Approx $1,407,500","€1,200,000 p/week + expenses Approx $1,407,500","Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts",Virgin Islands,"The 87.6m/287'5"" 'Project X' motor yacht built by the Greek shipyard Golden Yachts is available for charter for up to 12 guests in 9 cabins. This multi-award winning  yacht  features interior styling by Italian designer Massari Design.",
MAN OF STEEL,Motor Yachts,12,7,28,"1 Master, 2 VIP, 3 Double, 1 Twin",86m / 282'2,Oceanco Oceanco,2010 | 2023 (Refitted),15 Knots,14.2m / 46'7,3.91m / 12'10,"2,658 GT",Custom Custom,Nuvolari Lenard,Nuvolari Lenard,"€1,200,000 p/week + expenses Approx $1,368,000","€1,200,000 p/week + expenses Approx $1,368,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","$1,000,000 p/week + expenses","$1,000,000 p/week + expenses","Bermuda, Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The 86.01m/282'2"" 'Man of Steel' motor yacht built by the Dutch shipyard Oceanco is available for charter for up to 12 guests in 7 cabins. This  yacht  features interior styling by Italian designer Nuvolari Lenard.",
AQUILA,Motor Yachts,12,8,28,"1 Master, 4 VIP, 2 Twin, 1 Bunk Cabin",85.6m / 280'10,Derecktor Shipyards Derecktor Shipyards,2010 | 2021 (Refitted),15 Knots,14.3m / 46'11,4.2m / 13'9,"2,998 GT",Custom Custom,Tim Heywood Design,"RWD, Susan Young Interiors","€945,000 p/week + expenses Approx $1,077,500","€1,000,000 p/week + expenses Approx $1,140,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","$945,000 p/week + expenses","$1,000,000 p/week + expenses",,,"The 85.6m/280'10"" 'Aquila' (ex. Cakewalk) motor yacht built by Derecktor Shipyards is available for charter for up to 12 guests in 8 cabins. This multi-award winning  yacht  features interior styling by British designer RWD.",
HBC,Motor Yachts,12,11,28,11 Double,85.65m / 281',Abeking & Rasmussen Abeking & Rasmussen,2009 | 2024 (Refitted),13.5 Knots,12.4m / 40'8,3.45m / 11'4,"2,150 GT",Custom Custom,Reymond Langton Design,"Reymond Langton Design, Winch Design","€850,000 p/week + expenses Approx $997,000","€950,000 p/week + expenses Approx $1,114,000","Mediterranean, Croatia,, France,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Sardinia","€850,000 p/week + expenses Approx $997,000","€950,000 p/week + expenses Approx $1,114,000","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,The 85.65m/281' motor yacht 'HBC' by the German shipyard Abeking & Rasmussen offers flexible accommodation for up to 12 guests in 11 cabins and features interior styling by British designer Reymond Langton Design.,
SUNRAYS,Motor Yachts,12,9,27,"1 Master, 3 VIP, 2 Double, 2 Twin, 1 Convertible",85.5m / 280'6,Oceanco Oceanco,2010 | 2018 (Refitted),14 Knots,13.8m / 45'3,3.95m / 13',"2,867 GT",Custom Custom,Bjorn Johansson,Terence Disdale,"€1,150,000 p/week + expenses Approx $1,311,000","€1,150,000 p/week + expenses Approx $1,311,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","€1,150,000 p/week + expenses Approx $1,311,000","€1,150,000 p/week + expenses Approx $1,311,000","Indian Ocean, Maldives,, Seychelles","Abu Dhabi, Dubai","The award winning 85.5m/280'6"" motor yacht 'Sunrays' by the Dutch shipyard Oceanco offers flexible accommodation for up to 12 guests in 9 cabins and features interior styling by English designer Terence Disdale.",
GIGIA,Motor Yachts,12,9,27,"1 Master, 2 VIP, 6 Double/Twin",85m / 278'10,Lurssen Lurssen,2017 | 2024 (Refitted),12 Knots,14.8m / 48'7,3.85m / 12'8,"2,885 GT",Custom Custom,Winch Design,Winch Design,"€1,000,000 p/week + expenses Approx $1,185,500","€1,200,000 p/week + expenses Approx $1,422,500","Mediterranean, Croatia,, Greece,, Monaco,, Montenegro","Calvi, Cannes, Corsica, French Riviera, Mykonos, Santorini, Sardinia, St Tropez","$1,000,000 p/week + expenses","$1,200,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The 85m/278'10"" motor yacht 'Gigia' by the German shipyard Lurssen offers flexible accommodation for up to 12 guests in 9 cabins and features interior styling by British designer Winch Design.",
GRAND OCEAN,Motor Yachts,12,7,22,"1 Master, 2 Double, 4 Twin",85.05m / 279',Blohm + Voss Blohm + Voss,1990 | 2019 (Refitted),16 Knots,12.8m / 42',4.1m / 13'5,"1,864 GT",Custom Custom,Platou Architects,Alberto Pinto,"€700,000 p/week + expenses Approx $817,000","€700,000 p/week + expenses Approx $817,000","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Calvi, Cannes, Corsica, French Riviera, Ibiza, Ligurian Riviera, Portofino, Sardinia, St Tropez, The Balearics","$703,136 p/week + expenses","$703,136 p/week + expenses",,,The 85.05m/279' 'Grand Ocean' motor yacht built by the German shipyard Blohm + Voss is available for charter for up to 12 guests in 7 cabins. This  yacht  features interior styling by Alberto Pinto.,
MERIDIAN A,Motor Yachts,12,9,27,"2 Master, 2 VIP, 3 Double, 2 Twin",85.1m / 279'2,Lurssen Lurssen,2011 | 2019 (Refitted),12.5 Knots,14.28m / 46'10,3.9m / 12'10,"2,755 GT",Custom Custom,Espen Oeino,Reymond Langton Design,"€950,000 p/week + expenses Approx $1,083,000","€950,000 p/week + expenses Approx $1,083,000","Mediterranean, Monaco","Calvi, Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","€950,000 p/week + expenses Approx $1,083,000","€950,000 p/week + expenses Approx $1,083,000","Mediterranean, Monaco","Calvi, Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","The 85.1m/279'2"" 'Meridian A' motor yacht built by the German shipyard Lurssen is available for charter for up to 12 guests in 9 cabins. This  yacht  features interior styling by British designer Reymond Langton Design.",
