,name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
10,50 FIFTY,Motor Yachts,10.0,5.0,5.0,"1 Master, 2 Double, 2 Twin",32.4m / 106'4,Ocean Alexander Ocean Alexander,2024,14 Knots,7.1m / 23'4,1.89m / 6'2,210 GT,32L 32L,Evan K Marshall,Evan K Marshall,"$115,000 p/week + expenses","$115,000 p/week + expenses","Caribbean, Bahamas",Florida,"$115,000 p/week + expenses","$125,000 p/week + expenses","Caribbean, Bahamas",Florida,"The 32.5m/106'8"" motor yacht '50 FIFTY' is an excellent new superyacht for the luxury charter market. Delivered by the American shipyard Ocean Alexander  and featuring interior styling by British designer Evan K Marshall she can comfortably accommodate up to 10 guests in 5 cabins.",
11,55 FIFTYFIVE,Motor Yachts,9.0,4.0,5.0,"1 Master, 1 VIP, 1 Double/Twin, 1 Twin, 1 Pullman",31.3m / 102'8,Cerri Cantieri Naval Cerri Cantieri Naval,2021 | 2021 (Refitted),30 Knots,7.2m / 23'7,1.4m / 4'7,153 GT,Custom,Cerri Cantieri Navali,Cerri Cantieri Navali,"€90,000 p/week + expenses Approx $102,500","€100,000 p/week + expenses Approx $114,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€90,000 p/week + expenses Approx $102,500","€100,000 p/week + expenses Approx $114,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",The 31.1m/102' motor yacht '55 Fiftyfive' by the Italian shipyard Cerri Cantieri Navali offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Italian designer Cerri Cantieri Navali.,
12,7 ZERO,Motor Yachts,6.0,3.0,2.0,,22m / 72'2,Mangusta Mangusta,2007,30 Knots,5.6m / 18'4,1.3m / 4'3,60 GT,Custom,,,"€24,000 p/week + expenses Approx $27,500","€29,000 p/week + expenses Approx $33,000",,Sardinia,,,,,"The 22m/72'2"" '7 Zero' motor yacht built by the Italian shipyard Mangusta is available for charter for up to 6 guests in 3 cabins.",
13,7X,Catamarans,8.0,4.0,3.0,"1 Master, 1 VIP, 2 Double",24.38m / 80',Sunreef Yachts Sunreef Yachts,2019,9 Knots,11.5m / 37'9,2.6m / 8'6,244 GT,Sunreef 80 Sailing Sunreef 80 Sailing,Sunreef Yachts,Sunreef Yachts,"€72,500 p/week + expenses Approx $84,000","€77,500 p/week + expenses Approx $90,000","Mediterranean, Croatia,, Montenegro",,"€72,500 p/week + expenses Approx $84,000","€77,500 p/week + expenses Approx $90,000",,,"The 24.4m/80'1"" '7X' catamaran yacht built by the Polish shipyard Sunreef Yachts is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Polish designer Sunreef Yachts.",
14,888,Motor Yachts,8.0,4.0,3.0,"1 Master, 1 VIP, 2 Twin",26.01m / 85'4,Riva Riva,2006 | 2024 (Refitted),24 Knots,6.2m / 20'4,2m / 6'7,95 GT,85 Opera Super 85 Opera Super,Officina Italiana Design,"Officina Italiana Design, Mauro Micheli","€33,000 p/week + expenses Approx $38,500","€39,000 p/week + expenses Approx $45,500","Mediterranean, Croatia,, Montenegro",,"€33,000 p/week + expenses Approx $38,500","€33,000 p/week + expenses Approx $38,500",,,"The 26m/85'4"" motor yacht '888' by the Italian shipyard Riva offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Officina Italiana Design.",
15,@LAST,Open Yachts,6.0,3.0,3.0,"1 Master, 1 Double, 1 Twin",24.96m / 81'11,Leopard Leopard,2019 | 2023 (Refitted),23 Knots,6.1m / 20',0.91m / 3',75 GT,Leopard 24 Leopard 24,Caliari Superyacht Inc.,,"€25,000 p/week + expenses Approx $29,000","€28,001 p/week + expenses Approx $32,500","Mediterranean, Italy","Amalfi Coast, Sardinia",,,,,"The 23.96m/78'7"" '@Last' open yacht built by shipyard Leopard is available for charter for up to 6 guests in 3 cabins.",
16,A PLACE IN THE SUN,Motor Yachts,12.0,5.0,5.0,,30.48m / 100',Broward Broward,1992 | 2024 (Refitted),12 Knots,6.1m / 20',1.83m / 6',150 GT,Broward 100 Broward 100,Broward,Jane Plachter,"$50,000 p/week + expenses","$50,000 p/week + expenses","Caribbean, Bahamas","Florida, New England","$50,000 p/week + expenses","$57,500 p/week + expenses","Caribbean, Bahamas",Florida,The 30.48m/100' 'A Place in the Sun' motor yacht built by shipyard Broward is available for charter for up to 12 guests in 5 cabins. This  yacht  features interior styling by Jane Plachter.,
17,A SALT WEAPON,Motor Yachts,10.0,5.0,5.0,"1 Master, 1 VIP, 1 Double, 2 Double/Twin",34.57m / 113'5,Ocean Alexander Ocean Alexander,2024,12 Knots,7.44m / 24'5,2.3m / 7'7,273 GT,35P 35P,Giorgio M. Cassetta,Giorgio M. Cassetta,"$110,000 p/week + expenses","$110,000 p/week + expenses","Caribbean, Bahamas","Florida, Miami","$110,000 p/week + expenses","$125,000 p/week + expenses","Caribbean, Bahamas","Florida, Miami","The 34.6m/113'6"" motor yacht 'A Salt Weapon' is an excellent new superyacht for the luxury charter market. Delivered by the American shipyard Ocean Alexander  and featuring interior styling by Italian designer Giorgio M. Cassetta she can comfortably accommodate up to 10 guests in 5 cabins.",
18,A&I,Open Yachts,8.0,4.0,3.0,"1 Master, 1 VIP, 2 Twin",23.8m / 78'1,Alfamarine Alfamarine,2006,40 Knots,5.7m / 18'8,1.5m / 4'11,98 GT,Alfamarine 78 Alfamarine 78,,,"€28,000 p/week + expenses Approx $32,000","€31,500 p/week + expenses Approx $36,000","Mediterranean, Greece","Mykonos, Santorini","€28,000 p/week + expenses Approx $32,000","€31,500 p/week + expenses Approx $36,000","Mediterranean, Greece,, Turkey",Mykonos,"The 23.8m/78'1"" open yacht 'A&I' by shipyard Alfamarine offers flexible accommodation for up to 8 guests in 4 cabins.",
19,A' SALUTE,Motor Yachts,8.0,4.0,4.0,"1 Master, 1 VIP, 2 Double, 1 Convertible",32.92m / 108',Westship Westship,1999 | 2020 (Refitted),12 Knots,7.01m / 23',1.83m / 6',203 GT,Custom,Jack Sarin Naval Architects,Carr Design,"$39,000 p/week + expenses","$39,000 p/week + expenses","Caribbean, Bahamas","Florida, Miami","$39,000 p/week + expenses","$42,900 p/week + expenses","Caribbean, Bahamas",,The 32.92m/108' 'A' Salute' motor yacht built by shipyard Westship is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Carr Design.,
20,A+,Motor Yachts,11.0,5.0,7.0,"1 Master, 1 VIP, 2 Double, 1 Twin, 2 Pullman",34.01m / 111'7,Benetti Benetti,2024,14 Knots,7.9m / 25'11,2.03m / 6'8,265 GT,Oasis 34M Oasis 34M,RWD,Bonetti/Kozerski Architecture,"€160,000 p/week + expenses Approx $188,000","€160,000 p/week + expenses Approx $188,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","$160,000 p/week + expenses","$180,000 p/week + expenses",,,"The 34m/111'7"" motor yacht 'A+' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Benetti  and featuring interior styling by American designer Bonetti/Kozerski Architecture she can comfortably accommodate up to 11 guests in 5 cabins.",
21,A4,Open Yachts,10.0,4.0,3.0,"1 Master, 2 VIP, 1 Triple",26.92m / 88'4,Leopard Leopard,1999 | 2022 (Refitted),22 Knots,6.05m / 19'10,1.9m / 6'3,79 GT,Leopard 27 Leopard 27,Andrea Bacigalupo,Arno,"€49,000 p/week + expenses Approx $56,000","€49,000 p/week + expenses Approx $56,000","Mediterranean, France,, Monaco","Corsica, French Riviera","€49,000 p/week + expenses Approx $56,000","€49,000 p/week + expenses Approx $56,000","Mediterranean, France,, Monaco","Corsica, French Riviera","The 27m/88'7"" open yacht 'A4' by shipyard Leopard offers flexible accommodation for up to 10 guests in 4 cabins and features interior styling by Arno.",
22,A4A,Motor Yachts,8.0,4.0,2.0,,20.52m / 67'4,Absolute Absolute,2023,22 Knots,5.63m / 18'6,1.75m / 5'9,53 GT,Navetta 68 Navetta 68,,,"€36,500 p/week + expenses Approx $41,500","€40,000 p/week + expenses Approx $45,500","Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera, Sardinia","€36,500 p/week + expenses Approx $41,500","€40,000 p/week + expenses Approx $45,500","Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera, Sardinia","The 20.53m/67'4"" motor yacht 'A4A' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Absolute  she can comfortably accommodate up to 8 guests in 4 cabins.",
23,AARNA,Motor Yachts,8.0,4.0,5.0,"1 Master, 1 VIP, 2 Double",25.58m / 83'11,Sunseeker Sunseeker,2008 | 2022 (Refitted),15 Knots,6.31m / 20'8,2.01m / 6'7,87 GT,90 Yacht 90 Yacht,Don Shead Yacht Design,Ken Freivokh,"240,000 p/week + expenses Approx $65,500","240,000 p/week + expenses Approx $65,500",,"Abu Dhabi, Dubai","240,000 p/week + expenses Approx $65,500","240,000 p/week + expenses Approx $65,500",,"Abu Dhabi, Dubai","The 27.77m/91'1"" motor yacht 'Aarna' by the British shipyard Sunseeker offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by British designer Ken Freivokh.",
24,ABELY,Motor Yachts,10.0,4.0,5.0,,32.99m / 108'3,Ocea Ocea,2004 | 2024 (Refitted),10 Knots,6.3m / 20'8,1.9m / 6'3,149 GT,Commuter 108 Commuter 108,Joubert Nivelt Design,,"€45,000 p/week + expenses Approx $52,500","€55,000 p/week + expenses Approx $64,000",,"Ibiza, The Balearics","€45,000 p/week + expenses Approx $52,500","€55,000 p/week + expenses Approx $64,000",,"Ibiza, The Balearics","The 32.5m/106'8"" motor yacht 'Abely' (ex. Abely Wheeler) by shipyard Ocea offers flexible accommodation for up to 10 guests in 4 cabins.",
25,ABEON,Sailing Yachts,8.0,4.0,4.0,"2 Double, 2 Twin",28.33m / 92'11,Royal Huisman Royal Huisman,1984 | 2003 (Refitted),8 Knots,6.4m / 21',3.5m / 11'6,80 GT,Custom Custom,Sparkman & Stephens,Pieter Beeldsnijder Design,"€30,000 p/week + expenses Approx $34,000","€35,000 p/week + expenses Approx $40,000",,"Calvi, Corsica, Sardinia","€30,000 p/week + expenses Approx $34,000","€35,000 p/week + expenses Approx $40,000",,"Calvi, Corsica, Sardinia","The 28.3m/92'10"" sail yacht 'Abeon' by the Dutch shipyard Royal Huisman offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Pieter Beeldsnijder Design.",
26,ABIDE,Sailing Yachts,8.0,4.0,5.0,,42.06m / 138',Jongert Jongert,2002 | 2024 (Refitted),10 Knots,7.88m / 25'10,6.8m / 22'4,166 GT,Custom,Tony Castro Yacht Design,Peter Sijm,"$90,000 p/week + expenses","$95,000 p/week + expenses","Caribbean, Antigua,, Saint Martin,, St Barts",Virgin Islands,"$90,000 p/week + expenses","$95,000 p/week + expenses","Caribbean, Antigua,, Saint Martin,, St Barts",Virgin Islands,"The 41.6m/136'6"" 'Abide' sail yacht built by shipyard Jongert is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Peter Sijm.",
27,ABILITY,Motor Yachts,11.0,5.0,8.0,"1 Master, 1 VIP, 1 Double, 1 Twin, 1 Convertible, 1 Pullman",42.01m / 137'10,Codecasa Codecasa,2007 | 2023 (Refitted),21 Knots,8m / 26'3,1.4m / 4'7,286 GT,Codecasa 41S Codecasa 41S,Andrea Bacigalupo,Franco & Anna Della Role,"€110,000 p/week + expenses Approx $127,000","€125,000 p/week + expenses Approx $144,500","Mediterranean, Greece,, Turkey",Mykonos,"€110,000 p/week + expenses Approx $127,000","€110,000 p/week + expenses Approx $127,000","Mediterranean, Greece",Mykonos,"The 41m/134'6"" motor yacht 'Ability' by the Italian shipyard Codecasa offers flexible accommodation for up to 11 guests in 5 cabins and features interior styling by Franco & Anna Della Role.",
28,ABOUT TIME,Motor Yachts,12.0,6.0,8.0,"4 Double, 1 Single, 1 Convertible",40m / 131'3,Sunseeker Sunseeker,2010 | 2023 (Refitted),13 Knots,8.1m / 26'7,2.72m / 8'11,338 GT,40 Metre Yacht 40 Metre Yacht,Sunseeker,Sunseeker,"$150,000 p/week + expenses","$165,000 p/week + expenses","Caribbean, Bahamas",,"$150,000 p/week + expenses","$165,000 p/week + expenses","Caribbean, Bahamas",,"The 40.01m/131'3"" 'About Time' motor yacht built by the British shipyard Sunseeker is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by British designer Sunseeker.",
29,ABOVE & BEYOND,Catamarans,8.0,4.0,5.0,"1 Master, 1 VIP, 1 Double, 1 Twin",23.87m / 78'4,Sunreef Yachts Sunreef Yachts,2019,8 Knots,11.5m / 37'9,2.6m / 8'6,152 GT,Sunreef 80 Sailing Sunreef 80 Sailing,Sunreef Yachts,Sunreef Yachts,"€50,000 p/week + expenses Approx $57,000","€70,000 p/week + expenses Approx $80,000","Mediterranean, Greece",Mykonos,"€50,000 p/week + expenses Approx $57,000","€50,000 p/week + expenses Approx $57,000","Mediterranean, Greece",Mykonos,"The 24.4m/80'1"" 'Above & Beyond' catamaran yacht built by the Polish shipyard Sunreef Yachts is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Polish designer Sunreef Yachts.",
30,ABSOLUTE KING,Motor Yachts,11.0,5.0,6.0,"1 Master, 2 Double, 2 Twin",30.7m / 100'9,Falcon Yachts Falcon Yachts,2000 | 2007 (Refitted),25 Knots,6.48m / 21'3,2.11m / 6'11,114 GT,Falcon 100 Falcon 100,Stefano Righini,,"€38,500 p/week + expenses Approx $44,000","€38,500 p/week + expenses Approx $44,000","Mediterranean, Greece",Mykonos,"€38,500 p/week + expenses Approx $44,000","€38,500 p/week + expenses Approx $44,000","Mediterranean, Greece",Mykonos,The 30.48m/100' motor yacht 'Absolute King' by the Italian shipyard Falcon Yachts offers flexible accommodation for up to 11 guests in 5 cabins.,
31,ABUNDANCE,Gulet Yachts,6.0,3.0,4.0,,31.9m / 104'8,Alloy Yachts Alloy Yachts,1996 | 2025 (Refitted),10 Knots,7.15m / 23'5,3.5m / 11'6,104 GT,Custom Custom,Hoek Design,Hoek Design,"€42,000 p/week + expenses Approx $50,000","€48,000 p/week + expenses Approx $57,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€42,000 p/week + expenses Approx $50,000","€48,000 p/week + expenses Approx $57,000","Caribbean, Antigua,, Saint Martin,, St Barts, Central America, Costa Rica",Virgin Islands,"The 31.95m/104'10"" gulet yacht 'Abundance' by the New Zealander shipyard Alloy Yachts offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by Hoek Design.",
32,ACACIA,Motor Yachts,10.0,5.0,8.0,"1 Master, 2 VIP, 2 Twin",40.03m / 131'4,Sunseeker Sunseeker,2011 | 2023 (Refitted),14 Knots,8.08m / 26'6,2.69m / 8'10,338 GT,40 Metre Yacht 40 Metre Yacht,Sunseeker,Sunseeker,"$140,000 p/week + expenses","$140,000 p/week + expenses","Caribbean, Bahamas",,"$140,000 p/week + expenses","$155,000 p/week + expenses","Caribbean, Bahamas",,"The 40.03m/131'4"" motor yacht 'Acacia' by the British shipyard Sunseeker offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by British designer Sunseeker.",
33,ACAIA,Sailing Yachts,8.0,4.0,4.0,"1 Master, 1 VIP, 2 Twin",30.2m / 99'1,Southern Wind Southern Wind,2008 | 2023 (Refitted),10 Knots,6.7m / 22',3.9m / 12'10,82 GT,SW 100 DS SW 100 DS,Nauta Yachts,Nauta Yachts,"$55,000 p/week + expenses","$62,000 p/week + expenses","South Pacific, French Polynesia",,"$55,000 p/week + expenses","$62,000 p/week + expenses","Caribbean, Antigua,, Saint Martin,, St Barts",Virgin Islands,"The 30.2m/99'1"" 'Acaia' sail yacht built by shipyard Southern Wind is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by American designer Nauta Yachts.",
34,ACAPELLA,Sailing Yachts,12.0,5.0,9.0,"1 Master, 2 VIP, 2 Double, 2 Pullman",49m / 160'9,Custom Custom,2021,12 Knots,8.5m / 27'11,3.9m / 12'10,296 GT,Custom Custom,,Salt & Water Studio,"€85,000 p/week + expenses Approx $97,000","€98,000 p/week + expenses Approx $111,500","Mediterranean, Croatia,, Greece,, Montenegro",Mykonos,"€85,000 p/week + expenses Approx $97,000","€85,000 p/week + expenses Approx $97,000","Mediterranean, Croatia,, Montenegro",,"The 49m/160'9"" sail yacht 'Acapella' by shipyard Custom offers flexible accommodation for up to 12 guests in 5 cabins and features interior styling by Salt & Water Studio.",
35,ACCAMA DELTA,Motor Yachts,10.0,4.0,5.0,"1 Master, 1 VIP, 2 Twin",30m / 98'5,Azimut Azimut,1999 | 2024 (Refitted),17 Knots,6.6m / 21'8,2m / 6'7,151 GT,Azimut 100 Jumbo Azimut 100 Jumbo,Stefano Righini,Marty Lowe,"€45,000 p/week + expenses Approx $52,500","€50,000 p/week + expenses Approx $58,500","Mediterranean, France,, Monaco",French Riviera,POA,POA,"Mediterranean, France,, Monaco",French Riviera,"The 29.8m/97'9"" 'Accama Delta' motor yacht built by the Italian shipyard Azimut is available for charter for up to 10 guests in 4 cabins. This  yacht  features interior styling by American designer Marty Lowe.",
36,ACCEPTUS,Motor Yachts,10.0,5.0,6.0,"1 Master, 1 VIP, 2 Double, 1 Twin",34.01m / 111'7,Custom Line Custom Line,2011 | 2023 (Refitted),22 Knots,7.08m / 23'3,2m / 6'7,213 GT,Custom Line 112 Next Custom Line 112 Next,Zuccon,Zuccon,"€95,000 p/week + expenses Approx $111,000","€99,000 p/week + expenses Approx $116,000","Mediterranean, Croatia,, Montenegro",,"€85,000 p/week + expenses Approx $99,500","€85,000 p/week + expenses Approx $99,500","Mediterranean, Croatia,, Montenegro",,"The 34m/111'7"" motor yacht 'Acceptus' by the Italian shipyard Custom Line offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Zuccon.",
37,ACCIDENTAL SUCCESS II,Motor Yachts,10.0,5.0,4.0,"1 Master, 2 Double, 2 Double/Twin",28.04m / 92',Sunseeker Sunseeker,2024,15 Knots,6.55m / 21'6,2.13m / 7',151 GT,95 Yacht 95 Yacht,Sunseeker,Sunseeker,"$95,000 p/week + expenses","$115,000 p/week + expenses","Caribbean, Antigua,, Saint Martin,, St Barts",Virgin Islands,"$95,000 p/week + expenses","$115,000 p/week + expenses","Caribbean, Antigua,, Saint Martin,, St Barts",Virgin Islands,"The 28.06m/92'1"" motor yacht 'Accidental Success II' is an excellent new superyacht for the luxury charter market. Delivered by the British shipyard Sunseeker  and featuring interior styling by British designer Sunseeker she can comfortably accommodate up to 10 guests in 5 cabins.",
38,ACE,Motor Yachts,10.0,5.0,9.0,"1 Master, 4 VIP",44.27m / 145'3,Conrad Shipyard Conrad Shipyard,2023,11 Knots,8.9m / 29'2,2.45m / 8',494 GT,C144s C144s,"Reymond Langton Design, Diana Yacht Design",M2 Atelier,"€240,000 p/week + expenses Approx $273,500","€280,000 p/week + expenses Approx $319,000","Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera, Sardinia","$240,000 p/week + expenses","$280,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The 44.27m/145'3"" motor yacht 'Ace' is an excellent new superyacht for the luxury charter market. Delivered by Conrad Shipyard  and featuring interior styling by Italian designer M2 Atelier this multi-award winning  yacht  can comfortably accommodate up to 10 guests in 5 cabins.",
39,ACE SIX,Motor Yachts,8.0,4.0,4.0,"1 Master, 1 Double, 2 Twin",27m / 88'7,Canados Canados,1987 | 2020 (Refitted),10 Knots,6.1m / 20',1.8m / 5'11,73 GT,Canados 82 Canados 82,Tommaso Spadolini,,"€21,500 p/week + expenses Approx $25,000","€23,500 p/week + expenses Approx $27,500",,"Ibiza, The Balearics","€21,500 p/week + expenses Approx $25,000","€23,500 p/week + expenses Approx $27,500",,"Ibiza, The Balearics","The 27m/88'7"" motor yacht 'Ace Six' by the Italian shipyard Canados offers flexible accommodation for up to 8 guests in 4 cabins.",
40,ACHENAR,Sailing Yachts,8.0,4.0,4.0,"1 Master, 1 Double, 2 Double/Twin",27m / 88'7,Oyster Yachts Oyster Yachts,2021,9 Knots,6.3m / 20'8,3.5m / 11'6,113 GT,Oyster 885 Oyster 885,Rob Humphreys,,,,,,,,,,"The 27.08m/88'10"" 'Achenar' sail yacht built by shipyard Oyster Yachts is available for charter for up to 8 guests in 4 cabins.",
